dt,dt_iso,timezone,city_name,lat,lon,temp,rain_1h,rain_3h
1585911600,2020-04-03 11:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,42.76,,
1585915200,2020-04-03 12:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,43.86,,
1585918800,2020-04-03 13:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.19,,
1585922400,2020-04-03 14:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.88,,
1585926000,2020-04-03 15:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,44.29,,
1585929600,2020-04-03 16:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,44.02,,
1585933200,2020-04-03 17:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,42.46,,
1585936800,2020-04-03 18:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,42.06,,
1585940400,2020-04-03 19:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,41.36,0.5,
1585944000,2020-04-03 20:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,40.73,,
1585947600,2020-04-03 21:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,39.9,0.5,
1585951200,2020-04-03 22:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,38.3,,
1585954800,2020-04-03 23:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,37.54,,
1585958400,2020-04-04 00:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,37.35,,
1585962000,2020-04-04 01:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,37.62,,
1585965600,2020-04-04 02:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,37.04,,
1585969200,2020-04-04 03:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,36.19,,
1585972800,2020-04-04 04:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,36.5,,
1585976400,2020-04-04 05:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,36.43,,
1585980000,2020-04-04 06:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,36.23,,
1585983600,2020-04-04 07:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,39.29,,
1585987200,2020-04-04 08:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,42.13,,
1585990800,2020-04-04 09:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,44.87,,
1585994400,2020-04-04 10:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,46.58,,
1585998000,2020-04-04 11:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,47.88,,
